work_order_number,sales_order_number,sales_order_line,work_unit_name,work_unit_description,unit_type,work_unit_qty,item_rate,total_rate
WO-35000304,SO-900304,SOL-1501346,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000304,SO-900304,SOL-1501347,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000304,SO-900304,SOL-1501348,ACA00A-ESE22,Aerial cable design footage,Foot,184,0.36,66.24
WO-35000304,SO-900304,SOL-1501349,ACA02A-ESE22,Buried cable design footage,Foot,206,0.27,55.62
WO-35000304,SO-900304,SOL-1501350,POL00A-ESE22,Pole loading analysis,Pole,15,22.5,337.5
WO-35000305,SO-900305,SOL-1501351,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000305,SO-900305,SOL-1501352,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000306,SO-900306,SOL-1501353,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000306,SO-900306,SOL-1501354,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000306,SO-900306,SOL-1501355,ACA00A-ESE22,Aerial cable design footage,Foot,1364,0.36,491.04
WO-35000306,SO-900306,SOL-1501356,ACA02A-ESE22,Buried cable design footage,Foot,1315,0.27,355.05
WO-35000306,SO-900306,SOL-1501357,POL00A-ESE22,Pole loading analysis,Pole,12,22.5,270.0
WO-35000306,SO-900306,SOL-1501358,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000306,SO-900306,SOL-1501359,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000307,SO-900307,SOL-1501360,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000307,SO-990307,SOL-1501361,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000307,SO-990307,SOL-1501362,ACA00A-ESE22,Aerial cable design footage,Foot,738,0.36,265.68
WO-35000308,SO-900308,SOL-1501363,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000308,SO-900308,SOL-1501364,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000308,SO-900308,SOL-1501365,ACA00A-ESE22,Aerial cable design footage,Foot,1015,0.36,365.4
WO-35000308,SO-900308,SOL-1501366,ACA02A-ESE22,Buried cable design footage,Foot,1032,0.27,278.64
WO-35000308,SO-900308,SOL-1501367,POL00A-ESE22,Pole loading analysis,Pole,18,22.5,405.0
WO-35000309,SO-900309,SOL-1501368,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000309,SO-900309,SOL-1501369,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000309,SO-900309,SOL-1501370,ACA00A-ESE22,Aerial cable design footage,Foot,1564,0.36,563.04
WO-35000309,SO-900309,SOL-1501371,ACA02A-ESE22,Buried cable design footage,Foot,154,0.27,41.58
WO-35000309,SO-900309,SOL-1501372,POL00A-ESE22,Pole loading analysis,Pole,1,22.5,22.5
WO-35000310,SO-900310,SOL-1501373,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000310,SO-900310,SOL-1501374,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000310,SO-900310,SOL-1501375,ACA00A-ESE22,Aerial cable design footage,Foot,922,0.36,331.92
WO-35000310,SO-900310,SOL-1501376,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000311,SO-900311,SOL-1501377,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000311,SO-900311,SOL-1501378,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000311,SO-900311,SOL-1501379,ACA00A-ESE22,Aerial cable design footage,Foot,639,0.36,230.04
WO-35000311,SO-900311,SOL-1501380,ACA02A-ESE22,Buried cable design footage,Foot,577,0.27,155.79
WO-35000311,SO-900311,SOL-1501381,POL00A-ESE22,Pole loading analysis,Pole,9,22.5,202.5
WO-35000312,SO-900312,SOL-1501382,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000312,SO-900312,SOL-1501383,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000312,SO-900312,SOL-1501384,ACA00A-ESE22,Aerial cable design footage,Foot,1367,0.36,492.12
WO-35000312,SO-900312,SOL-1501385,POL00A-ESE22,Pole loading analysis,Pole,4,22.5,90.0
WO-35000313,SO-900313,SOL-1501386,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000313,SO-900313,SOL-1501387,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000313,SO-900313,SOL-1501388,ACA02A-ESE22,Buried cable design footage,Foot,120,0.27,32.4
WO-35000313,SO-900313,SOL-1501389,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000313,SO-900313,SOL-1501390,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000314,SO-900314,SOL-1501391,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000314,SO-900314,SOL-1501392,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000314,SO-900314,SOL-1501393,ACA00A-ESE22,Aerial cable design footage,Foot,1249,0.36,449.64
WO-35000314,SO-900314,SOL-1501394,ACA02A-ESE22,Buried cable design footage,Foot,1304,0.27,352.08
WO-35000314,SO-900314,SOL-1501395,POL00A-ESE22,Pole loading analysis,Pole,7,22.5,157.5
WO-35000315,SO-900315,SOL-1501396,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000315,SO-900315,SOL-1501397,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000315,SO-900315,SOL-1501398,ACA00A-ESE22,Aerial cable design footage,Foot,426,0.36,153.36
WO-35000315,SO-900315,SOL-1501399,POL00A-ESE22,Pole loading analysis,Pole,17,22.5,382.5
WO-35000316,SO-900316,SOL-1501400,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000316,SO-900316,SOL-1501401,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000316,SO-900316,SOL-1501402,ACA00A-ESE22,Aerial cable design footage,Foot,371,0.36,133.56
WO-35000317,SO-900317,SOL-1501403,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000317,SO-900317,SOL-1501404,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000317,SO-900317,SOL-1501405,ACA00A-ESE22,Aerial cable design footage,Foot,705,0.36,253.8
WO-35000317,SO-900317,SOL-1501406,ACA02A-ESE22,Buried cable design footage,Foot,409,0.27,110.43
WO-35000317,SO-900317,SOL-1501407,POL00A-ESE22,Pole loading analysis,Pole,9,22.5,202.5
WO-35000317,SO-900317,SOL-1501408,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000317,SO-900317,SOL-1501409,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000318,SO-900318,SOL-1501410,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000318,SO-900318,SOL-1501411,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000318,SO-900318,SOL-1501412,ACA02A-ESE22,Buried cable design footage,Foot,339,0.27,91.53
WO-35000319,SO-900319,SOL-1501413,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000319,SO-900319,SOL-1501414,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000319,SO-900319,SOL-1501415,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000320,SO-900320,SOL-1501416,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000320,SO-900320,SOL-1501417,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000320,SO-900320,SOL-1501418,ACA02A-ESE22,Buried cable design footage,Foot,1108,0.27,299.16
WO-35000320,SO-900320,SOL-1501419,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000321,SO-900321,SOL-1501420,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000321,SO-900321,SOL-1501421,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000321,SO-900321,SOL-1501422,ACA00A-ESE22,Aerial cable design footage,Foot,1036,0.36,372.96
WO-35000321,SO-900321,SOL-1501423,POL00A-ESE22,Pole loading analysis,Pole,11,22.5,247.5
WO-35000321,SO-900321,SOL-1501424,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000322,SO-900322,SOL-1501425,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000322,SO-900322,SOL-1501426,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000322,SO-900322,SOL-1501427,ACA00A-ESE22,Aerial cable design footage,Foot,863,0.36,310.68
WO-35000322,SO-900322,SOL-1501428,POL00A-ESE22,Pole loading analysis,Pole,15,22.5,337.5
WO-35000322,SO-900322,SOL-1501429,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000322,SO-900322,SOL-1501430,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000323,SO-900323,SOL-1501431,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000323,SO-900323,SOL-1501432,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000323,SO-900323,SOL-1501433,ACA00A-ESE22,Aerial cable design footage,Foot,1322,0.36,475.92
WO-35000323,SO-900323,SOL-1501434,ACA02A-ESE22,Buried cable design footage,Foot,1037,0.27,279.99
WO-35000323,SO-900323,SOL-1501435,POL00A-ESE22,Pole loading analysis,Pole,16,22.5,360.0
WO-35000323,SO-900323,SOL-1501436,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000324,SO-900324,SOL-1501437,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000324,SO-900324,SOL-1501438,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000324,SO-900324,SOL-1501439,ACA02A-ESE22,Buried cable design footage,Foot,1033,0.27,278.91
WO-35000325,SO-900325,SOL-1501440,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000325,SO-900325,SOL-1501441,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000325,SO-900325,SOL-1501442,ACA00A-ESE22,Aerial cable design footage,Foot,303,0.36,109.08
WO-35000325,SO-900325,SOL-1501443,POL00A-ESE22,Pole loading analysis,Pole,13,22.5,292.5
WO-35000326,SO-900326,SOL-1501444,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000326,SO-900326,SOL-1501445,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000326,SO-900326,SOL-1501446,ACA00A-ESE22,Aerial cable design footage,Foot,1540,0.36,554.4
WO-35000326,SO-900326,SOL-1501447,POL00A-ESE22,Pole loading analysis,Pole,14,22.5,315.0
WO-35000326,SO-900326,SOL-1501448,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000326,SO-900326,SOL-1501449,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000327,SO-900327,SOL-1501450,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000327,SO-900327,SOL-1501451,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000327,SO-900327,SOL-1501452,ACA00A-ESE22,Aerial cable design footage,Foot,1551,0.36,558.36
WO-35000327,SO-900327,SOL-1501453,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000328,SO-900328,SOL-1501454,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000328,SO-900328,SOL-1501455,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000328,SO-900328,SOL-1501456,ACA02A-ESE22,Buried cable design footage,Foot,762,0.27,205.74
WO-35000329,SO-900329,SOL-1501457,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000329,SO-900329,SOL-1501458,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000329,SO-900329,SOL-1501459,ACA00A-ESE22,Aerial cable design footage,Foot,1562,0.36,562.32
WO-35000329,SO-900329,SOL-1501460,POL00A-ESE22,Pole loading analysis,Pole,9,22.5,202.5
WO-35000329,SO-900329,SOL-1501461,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000330,SO-900330,SOL-1501462,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000330,SO-900330,SOL-1501463,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000330,SO-900330,SOL-1501464,ACA02A-ESE22,Buried cable design footage,Foot,356,0.27,96.12
WO-35000331,SO-900331,SOL-1501465,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000331,SO-900331,SOL-1501466,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000331,SO-900331,SOL-1501467,ACA00A-ESE22,Aerial cable design footage,Foot,1183,0.36,425.88
WO-35000331,SO-900331,SOL-1501468,POL00A-ESE22,Pole loading analysis,Pole,13,22.5,292.5
WO-35000332,SO-900332,SOL-1501469,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000332,SO-900332,SOL-1501470,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000332,SO-900332,SOL-1501471,ACA00A-ESE22,Aerial cable design footage,Foot,1154,0.36,415.44
WO-35000332,SO-900332,SOL-1501472,POL00A-ESE22,Pole loading analysis,Pole,15,22.5,337.5
WO-35000332,SO-900332,SOL-1501473,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000332,SO-900332,SOL-1501474,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000333,SO-900333,SOL-1501475,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000333,SO-900333,SOL-1501476,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000333,SO-900333,SOL-1501477,ACA00A-ESE22,Aerial cable design footage,Foot,744,0.36,267.84
WO-35000333,SO-900333,SOL-1501478,POL00A-ESE22,Pole loading analysis,Pole,7,22.5,157.5
WO-35000333,SO-900333,SOL-1501479,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000334,SO-900334,SOL-1501480,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000334,SO-900334,SOL-1501481,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000334,SO-900334,SOL-1501482,ACA00A-ESE22,Aerial cable design footage,Foot,506,0.36,182.16
WO-35000334,SO-900334,SOL-1501483,ACA02A-ESE22,Buried cable design footage,Foot,603,0.27,162.81
WO-35000334,SO-900334,SOL-1501484,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000334,SO-900334,SOL-1501485,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000335,SO-900335,SOL-1501486,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000335,SO-900335,SOL-1501487,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000335,SO-900335,SOL-1501488,ACA00A-ESE22,Aerial cable design footage,Foot,683,0.36,245.88
WO-35000335,SO-900335,SOL-1501489,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000336,SO-900336,SOL-1501490,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000336,SO-900336,SOL-1501491,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000337,SO-900337,SOL-1501492,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000337,SO-900337,SOL-1501493,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000337,SO-900337,SOL-1501494,ACA00A-ESE22,Aerial cable design footage,Foot,942,0.36,339.12
WO-35000337,SO-900337,SOL-1501495,POL00A-ESE22,Pole loading analysis,Pole,17,22.5,382.5
WO-35000337,SO-900337,SOL-1501496,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000338,SO-900338,SOL-1501497,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000338,SO-900338,SOL-1501498,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000338,SO-900338,SOL-1501499,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000338,SO-900338,SOL-1501500,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000339,SO-900339,SOL-1501501,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000339,SO-900339,SOL-1501502,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000339,SO-900339,SOL-1501503,ACA00A-ESE22,Aerial cable design footage,Foot,855,0.36,307.8
WO-35000339,SO-900339,SOL-1501504,ACA02A-ESE22,Buried cable design footage,Foot,273,0.27,73.71
WO-35000339,SO-900339,SOL-1501505,POL00A-ESE22,Pole loading analysis,Pole,15,22.5,337.5
WO-35000340,SO-900340,SOL-1501506,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000340,SO-900340,SOL-1501507,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000340,SO-900340,SOL-1501508,ACA00A-ESE22,Aerial cable design footage,Foot,928,0.36,334.08
WO-35000340,SO-900340,SOL-1501509,ACA02A-ESE22,Buried cable design footage,Foot,1086,0.27,293.22
WO-35000340,SO-900340,SOL-1501510,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000341,SO-900341,SOL-1501511,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000341,SO-900341,SOL-1501512,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000342,SO-900342,SOL-1501513,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000342,SO-900342,SOL-1501514,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000343,SO-900343,SOL-1501515,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000343,SO-900343,SOL-1501516,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000343,SO-900343,SOL-1501517,ACA02A-ESE22,Buried cable design footage,Foot,1345,0.27,363.15
WO-35000343,SO-900343,SOL-1501518,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000344,SO-900344,SOL-1501519,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000344,SO-900344,SOL-1501520,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000344,SO-900344,SOL-1501521,ACA02A-ESE22,Buried cable design footage,Foot,302,0.27,81.54
WO-35000344,SO-900344,SOL-1501522,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000345,SO-900345,SOL-1501523,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000345,SO-900345,SOL-1501524,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000345,SO-900345,SOL-1501525,ACA00A-ESE22,Aerial cable design footage,Foot,278,0.36,100.08
WO-35000345,SO-900345,SOL-1501526,ACA02A-ESE22,Buried cable design footage,Foot,363,0.27,98.01
WO-35000346,SO-900346,SOL-1501527,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000346,SO-900346,SOL-1501528,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000346,SO-900346,SOL-1501529,ACA00A-ESE22,Aerial cable design footage,Foot,1055,0.36,379.8
WO-35000346,SO-900346,SOL-1501530,ACA02A-ESE22,Buried cable design footage,Foot,475,0.27,128.25
WO-35000346,SO-900346,SOL-1501531,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000347,SO-900347,SOL-1501532,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000347,SO-900347,SOL-1501533,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000347,SO-900347,SOL-1501534,ACA00A-ESE22,Aerial cable design footage,Foot,1074,0.36,386.64
WO-35000347,SO-900347,SOL-1501535,POL00A-ESE22,Pole loading analysis,Pole,12,22.5,270.0
WO-35000347,SO-900347,SOL-1501536,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000348,SO-900348,SOL-1501537,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000348,SO-900348,SOL-1501538,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000348,SO-900348,SOL-1501539,ACA02A-ESE22,Buried cable design footage,Foot,1105,0.27,298.35
WO-35000348,SO-900348,SOL-1501540,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000348,SO-900348,SOL-1501541,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000349,SO-900349,SOL-1501542,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000349,SO-900349,SOL-1501543,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000349,SO-900349,SOL-1501544,ACA00A-ESE22,Aerial cable design footage,Foot,192,0.36,69.12
WO-35000349,SO-900349,SOL-1501545,ACA02A-ESE22,Buried cable design footage,Foot,1127,0.27,304.29
WO-35000350,SO-900350,SOL-1501546,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000350,SO-900350,SOL-1501547,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000350,SO-900350,SOL-1501548,ACA00A-ESE22,Aerial cable design footage,Foot,490,0.36,176.4
WO-35000350,SO-900350,SOL-1501549,POL00A-ESE22,Pole loading analysis,Pole,15,22.5,337.5
WO-35000350,SO-900350,SOL-1501550,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000351,SO-900351,SOL-1501551,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000351,SO-900351,SOL-1501552,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000351,SO-900351,SOL-1501553,ACA00A-ESE22,Aerial cable design footage,Foot,380,0.36,136.8
WO-35000351,SO-900351,SOL-1501554,POL00A-ESE22,Pole loading analysis,Pole,18,22.5,405.0
WO-35000351,SO-900351,SOL-1501555,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000352,SO-900352,SOL-1501556,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000352,SO-900352,SOL-1501557,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000352,SO-900352,SOL-1501558,ACA02A-ESE22,Buried cable design footage,Foot,902,0.27,243.54
WO-35000353,SO-900353,SOL-1501559,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000353,SO-900353,SOL-1501560,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000353,SO-900353,SOL-1501561,ACA02A-ESE22,Buried cable design footage,Foot,781,0.27,210.87
WO-35000353,SO-900353,SOL-1501562,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000354,SO-900354,SOL-1501563,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000354,SO-900354,SOL-1501564,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000354,SO-900354,SOL-1501565,ACA02A-ESE22,Buried cable design footage,Foot,1006,0.27,271.62
WO-35000355,SO-900355,SOL-1501566,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000355,SO-900355,SOL-1501567,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000355,SO-900355,SOL-1501568,ACA02A-ESE22,Buried cable design footage,Foot,144,0.27,38.88
WO-35000356,SO-900356,SOL-1501569,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000356,SO-900356,SOL-1501570,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000356,SO-900356,SOL-1501571,ACA00A-ESE22,Aerial cable design footage,Foot,1536,0.36,552.96
WO-35000356,SO-900356,SOL-1501572,ACA02A-ESE22,Buried cable design footage,Foot,1169,0.27,315.63
WO-35000356,SO-900356,SOL-1501573,POL00A-ESE22,Pole loading analysis,Pole,5,22.5,112.5
WO-35000356,SO-900356,SOL-1501574,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000357,SO-900357,SOL-1501575,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000357,SO-900357,SOL-1501576,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000357,SO-900357,SOL-1501577,ACA00A-ESE22,Aerial cable design footage,Foot,1255,0.36,451.8
WO-35000357,SO-900357,SOL-1501578,POL00A-ESE22,Pole loading analysis,Pole,14,22.5,315.0
WO-35000357,SO-900357,SOL-1501579,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000358,SO-900358,SOL-1501580,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000358,SO-900358,SOL-1501581,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000358,SO-900358,SOL-1501582,ACA00A-ESE22,Aerial cable design footage,Foot,1160,0.36,417.6
WO-35000358,SO-900358,SOL-1501583,ACA02A-ESE22,Buried cable design footage,Foot,561,0.27,151.47
WO-35000358,SO-900358,SOL-1501584,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000359,SO-900359,SOL-1501585,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000359,SO-900359,SOL-1501586,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000359,SO-900359,SOL-1501587,ACA00A-ESE22,Aerial cable design footage,Foot,550,0.36,198.0
WO-35000359,SO-900359,SOL-1501588,ACA02A-ESE22,Buried cable design footage,Foot,1288,0.27,347.76
WO-35000359,SO-900359,SOL-1501589,POL00A-ESE22,Pole loading analysis,Pole,6,22.5,135.0
WO-35000359,SO-900359,SOL-1501590,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000360,SO-900360,SOL-1501591,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000360,SO-900360,SOL-1501592,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000360,SO-900360,SOL-1501593,ACA00A-ESE22,Aerial cable design footage,Foot,522,0.36,187.92
WO-35000360,SO-900360,SOL-1501594,ACA02A-ESE22,Buried cable design footage,Foot,176,0.27,47.52
WO-35000360,SO-900360,SOL-1501595,POL00A-ESE22,Pole loading analysis,Pole,11,22.5,247.5
WO-35000360,SO-900360,SOL-1501596,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000361,SO-900361,SOL-1501597,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000361,SO-900361,SOL-1501598,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000361,SO-900361,SOL-1501599,ACA00A-ESE22,Aerial cable design footage,Foot,1463,0.36,526.68
WO-35000361,SO-900361,SOL-1501600,ACA02A-ESE22,Buried cable design footage,Foot,1159,0.27,312.93
WO-35000361,SO-900361,SOL-1501601,POL00A-ESE22,Pole loading analysis,Pole,10,22.5,225.0
WO-35000362,SO-900362,SOL-1501602,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000362,SO-990362,SOL-1501603,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000362,SO-990362,SOL-1501604,ACA00A-ESE22,Aerial cable design footage,Foot,707,0.36,254.52
WO-35000362,SO-990362,SOL-1501605,ACA02A-ESE22,Buried cable design footage,Foot,1313,0.27,354.51
WO-35000362,SO-990362,SOL-1501606,POL00A-ESE22,Pole loading analysis,Pole,17,22.5,382.5
WO-35000362,SO-990362,SOL-1501607,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
